date,temperature,pressure,110,stdev [110],direction [110],320,stdev [320],direction [320],500,stdev [500],direction [500],800,stdev [800],direction [800],1000,stdev [1000],direction [1000],1500,stdev [1500],direction [1500],1900,stdev [1900],direction [1900],3200,stdev [3200],direction [3200],4200,stdev [4200],direction [4200],5600,stdev [5600],direction [5600],7200,stdev [7200],direction [7200],9200,stdev [9200],direction [9200],10400,stdev [10400],direction [10400],11800,stdev [11800],direction [11800],13500,stdev [13500],direction [13500],15800,stdev [15800],direction [15800],17700,stdev [17700],direction [17700],19300,stdev [19300],direction [19300],22000,stdev [22000],direction [22000]
2021-08-02 14:00:00,17.3815,1016.1,6.2747207,0.0,253.81071,6.3091044,0.0,253.30067,10.596054,0.0,255.14134,14.532187,0.0,260.53775,19.344872,0.0,263.29025,24.21493,0.0,264.75296,24.890722,0.0,266.26868,18.8904,0.0,295.20108,20.988125,0.0,319.26797,23.371033,0.0,316.12323,27.066805,0.0,317.91092,28.700455,0.0,331.69934,30.204325,0.0,337.28555,26.151693,0.0,311.98712,19.70653,0.0,313.66785,12.779506,0.0,300.46545,8.717231,0.0,41.98714,6.6077857,0.0,11.3098955,13.10391,0.0,81.46932
2021-08-02 15:00:00,19.1315,1016.5,7.9412465,0.0,248.45895,7.968754,0.0,249.27435,13.815565,0.0,252.38733,15.753303,0.0,254.8141,19.59285,0.0,258.6901,23.805174,0.0,262.8751,25.940355,0.0,267.6141,21.325851,0.0,300.19153,21.242311,0.0,315.0001,22.01112,0.0,312.614,24.741045,0.0,315.0001,26.119566,0.0,330.25522,27.2523,0.0,331.6071,25.804228,0.0,308.8845,19.26484,0.0,312.27362,14.225345,0.0,300.06848,8.247014,0.0,44.999897,5.343106,0.0,14.036275,14.269546,0.0,87.3975
2021-08-02 16:00:00,20.0315,1015.7,9.23682,0.0,261.52893,9.173553,0.0,261.15826,15.637066,0.0,261.54504,17.569489,0.0,261.46933,18.700308,0.0,262.35968,20.721338,0.0,265.91446,22.164501,0.0,272.79263,21.209663,0.0,301.4295,20.002523,0.0,313.2101,21.655384,0.0,308.92755,24.321745,0.0,311.7602,26.684076,0.0,330.9455,29.337032,0.0,329.47037,27.951971,0.0,315.9391,17.446497,0.0,301.32864,13.342038,0.0,299.0545,7.5562916,0.0,59.03632,3.9413056,0.0,9.462261,16.85907,0.0,92.20255
2021-08-02 17:00:00,21.1315,1015.4,9.044602,0.0,261.34753,8.9745655,0.0,260.9606,14.912021,0.0,264.36942,16.542032,0.0,266.23602,17.427616,0.0,267.02634,18.454176,0.0,270.0,19.236746,0.0,274.83032,20.289413,0.0,300.80136,19.180658,0.0,308.45374,22.11578,0.0,301.8274,25.011076,0.0,306.57312,27.004688,0.0,329.74365,30.721146,0.0,332.3541,28.406384,0.0,315.0001,18.33815,0.0,302.00534,13.912005,0.0,297.75842,4.5816746,0.0,98.13002,3.4892995,0.0,21.801476,16.25042,0.0,94.57384
2021-08-02 18:00:00,21.4315,1014.9,8.349465,0.0,257.90524,8.258801,0.0,257.3196,14.191493,0.0,260.67648,16.218058,0.0,262.30405,17.048258,0.0,263.91156,18.234703,0.0,266.906,18.636292,0.0,271.66025,19.830267,0.0,300.46545,18.795208,0.0,299.57773,22.89921,0.0,295.1148,26.063246,0.0,304.8754,27.3369,0.0,328.5705,29.727974,0.0,343.53992,27.221474,0.0,321.7661,17.118551,0.0,299.4758,14.560791,0.0,290.85452,3.4892995,0.0,21.801476,2.8977058,0.0,26.564985,14.959011,0.0,107.650215
2021-08-02 19:00:00,22.3815,1014.2,9.104977,0.0,253.8865,9.186812,0.0,254.74483,14.650451,0.0,255.96373,15.760786,0.0,258.0707,16.53715,0.0,259.76526,17.064987,0.0,264.2073,17.448586,0.0,278.00464,19.830267,0.0,300.46545,18.623081,0.0,292.30624,23.824709,0.0,292.3802,28.131634,0.0,308.45374,26.063246,0.0,325.1246,30.176512,0.0,345.06854,27.891827,0.0,329.2646,17.106281,0.0,294.62354,15.168043,0.0,289.9832,4.0979743,0.0,18.435053,2.336205,0.0,33.6901,13.357763,0.0,104.03627
2021-08-03 11:00:00,13.6315,1013.4,4.432637,0.0,254.74483,4.3993893,0.0,254.05453,18.195118,0.0,268.02512,22.067923,0.0,280.20392,21.4548,0.0,281.54666,27.224482,0.0,279.8879,29.200066,0.0,287.76495,29.923761,0.0,285.59286,28.180695,0.0,283.60056,29.10716,0.0,286.8215,32.05863,0.0,284.03625,28.517015,0.0,291.318,28.685822,0.0,288.43503,30.64589,0.0,283.44864,22.631804,0.0,293.6294,13.215571,0.0,281.3099,13.912005,0.0,242.24155,2.671553,0.0,75.96373,12.3790045,0.0,42.878906
2021-08-03 12:00:00,15.031501,1013.7,4.2940826,0.0,264.80566,4.249259,0.0,264.55975,11.915692,0.0,268.99493,18.675713,0.0,278.6954,20.177341,0.0,282.9465,24.189915,0.0,279.36642,26.738705,0.0,281.65027,30.015583,0.0,286.2091,28.94598,0.0,285.94547,28.302738,0.0,285.94547,31.775824,0.0,286.5874,29.727974,0.0,290.40997,29.301233,0.0,288.03436,31.59695,0.0,285.46127,22.37997,0.0,292.1095,12.513929,0.0,291.25058,15.126468,0.0,226.73567,3.2397332,0.0,90.0,15.126468,0.0,43.26433
2021-08-03 13:00:00,16.6315,1014.0,5.0577207,0.0,272.20255,5.0358553,0.0,270.0,9.8437,0.0,273.65216,15.645134,0.0,283.65045,18.870283,0.0,288.86908,22.558086,0.0,283.8847,25.78959,0.0,280.25113,29.844828,0.0,282.31943,28.401453,0.0,285.33334,27.344578,0.0,283.70697,28.926302,0.0,285.59286,28.2879,0.0,290.0953,28.897259,0.0,289.6539,31.77582,0.0,290.28265,21.723131,0.0,287.3541,11.315902,0.0,283.24054,17.434462,0.0,228.01286,2.671553,0.0,104.03627,17.874405,0.0,43.53127
2021-08-03 14:00:00,18.4315,1014.8,5.3056507,0.0,278.42688,5.498084,0.0,278.42688,9.281775,0.0,277.76508,11.461726,0.0,279.81924,15.349941,0.0,283.627,19.574965,0.0,284.5603,24.197298,0.0,280.93378,30.30606,0.0,280.19144,27.86029,0.0,284.69736,27.344578,0.0,283.70697,28.302738,0.0,285.94547,27.831554,0.0,294.77512,28.487555,0.0,287.19864,29.918022,0.0,287.6502,19.056683,0.0,287.81897,10.725427,0.0,295.01685,16.80919,0.0,242.44728,1.8326701,0.0,135.0001,18.924036,0.0,51.952908
